Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR4042824_1	96.28711530125705	52.0	300.0	36.36363636363637	73824.0
ERR4042824_2	92.76793454703078	52.0	300.0	45.45454545454545	73824.0
ERR4042849_1	95.90773023419617	55.0	300.0	36.36363636363637	56790.0
ERR4042849_2	93.56400774784294	54.0	300.0	54.54545454545454	56790.0
ERR4042883_1	92.96850879901204	52.0	300.0	45.45454545454545	38868.0
ERR4042883_2	91.00545435834105	52.0	300.0	45.45454545454545	38868.0
ERR4042921_1	94.87797067954948	53.0	300.0	45.45454545454545	71827.0
ERR4042921_2	92.64761162237042	53.0	300.0	45.45454545454545	71827.0
ERR4042941_1	95.53304634084579	53.0	300.0	45.45454545454545	98725.0
ERR4042941_2	93.4504937958977	52.0	300.0	45.45454545454545	98725.0
ERR4042949_1	95.62296500844909	52.0	300.0	36.36363636363637	72789.0
ERR4042949_2	95.3427028809298	52.0	300.0	45.45454545454545	72789.0
ERR4043086_1	95.24172603588363	52.0	300.0	36.36363636363637	41969.0
ERR4043086_2	94.85334413495676	52.0	300.0	45.45454545454545	41969.0
ERR4043188_1	94.99401986445027	52.0	300.0	36.36363636363637	57691.0
ERR4043188_2	95.31816054497236	52.0	300.0	45.45454545454545	57691.0
ERR4043295_1	94.68586745974291	53.0	300.0	36.36363636363637	51109.0
ERR4043295_2	91.85466356219061	53.0	300.0	54.54545454545454	51109.0
ERR4043299_1	94.34585078441116	53.0	300.0	36.36363636363637	56348.0
ERR4043299_2	92.90125647760347	53.0	300.0	54.54545454545454	56348.0
ERR4043366_1	93.82335043032252	53.0	300.0	45.45454545454545	46012.0
ERR4043366_2	91.43701643049639	52.0	300.0	45.45454545454545	46012.0
ERR4043412_1	94.416577188737	52.0	300.0	45.45454545454545	62399.0
ERR4043412_2	92.31878716005065	52.0	300.0	45.45454545454545	62399.0
ERR4043582_1	95.54372022385421	53.0	300.0	36.36363636363637	48067.0
ERR4043582_2	95.03401502070027	53.0	300.0	36.36363636363637	48067.0
ERR4043596_1	95.82568382012053	53.0	300.0	36.36363636363637	53925.0
ERR4043596_2	95.40287436254056	53.0	300.0	45.45454545454545	53925.0
ERR4043606_1	94.87759815242494	53.0	300.0	36.36363636363637	43300.0
ERR4043606_2	95.03002309468822	53.0	300.0	36.36363636363637	43300.0
ERR4043608_1	95.21467977932357	52.0	300.0	36.36363636363637	50028.0
ERR4043608_2	94.8928599984009	52.0	300.0	36.36363636363637	50028.0
ERR4043615_1	95.63749036837878	53.0	300.0	36.36363636363637	60997.0
ERR4043615_2	95.55879797367083	53.0	300.0	45.45454545454545	60997.0
ERR4043792_1	93.14620974731649	52.0	300.0	36.36363636363637	44997.0
ERR4043792_2	91.67722292597284	53.0	300.0	54.54545454545454	44997.0
ERR4043803_1	94.26073934771631	52.0	300.0	36.36363636363637	57429.0
ERR4043803_2	91.46250152362047	52.0	300.0	54.54545454545454	57429.0
ERR4043806_1	95.06389252948885	51.0	300.0	36.36363636363637	61040.0
ERR4043806_2	92.93414154652687	52.0	300.0	54.54545454545454	61040.0
