Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR4042824_1_paired	ERR4042824_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64982.0	0.0	100-300	52.0	2.993136560893786	271.6967006247884	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
ERR4042824_2_paired	ERR4042824_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	64982.0	0.0	100-300	50.0	5.052168292757995	211.8625465513527	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
ERR4042849_1_paired	ERR4042849_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50283.0	0.0	100-300	55.0	3.400751745122606	276.6964978223256	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR4042849_2_paired	ERR4042849_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50283.0	0.0	100-289	52.0	4.62979535827218	202.95121611677902	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
ERR4042883_1_paired	ERR4042883_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33103.0	0.0	100-300	53.0	5.872579524514395	262.19931728242153	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
ERR4042883_2_paired	ERR4042883_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33103.0	0.0	100-300	51.0	6.250188804640063	231.38235205268404	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
ERR4042921_1_paired	ERR4042921_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62482.0	0.0	100-300	53.0	4.077974456643513	261.9616209468327	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
ERR4042921_2_paired	ERR4042921_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	62482.0	0.0	100-300	52.0	4.714957907877468	232.6353189718639	pass	pass	fail	pass	fail	warn	pass	warn	fail	fail	pass
ERR4042941_1_paired	ERR4042941_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85807.0	0.0	100-300	53.0	3.59877399279779	263.90536902583705	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
ERR4042941_2_paired	ERR4042941_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	85807.0	0.0	100-300	51.0	4.209446781731095	230.9494796461827	pass	pass	fail	pass	fail	fail	pass	warn	fail	fail	pass
