Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ERR4042824_1_paired	97.00686343910621	52.0	271.6967006247884	36.36363636363637	64982.0
ERR4042824_2_paired	94.947831707242	50.0	211.8625465513527	45.45454545454545	64982.0
ERR4042849_1_paired	96.5992482548774	55.0	276.6964978223256	36.36363636363637	50283.0
ERR4042849_2_paired	95.37020464172782	52.0	202.95121611677902	45.45454545454545	50283.0
ERR4042883_1_paired	94.12742047548561	53.0	262.19931728242153	45.45454545454545	33103.0
ERR4042883_2_paired	93.74981119535994	51.0	231.38235205268404	45.45454545454545	33103.0
ERR4042921_1_paired	95.92202554335648	53.0	261.9616209468327	45.45454545454545	62482.0
ERR4042921_2_paired	95.28504209212254	52.0	232.6353189718639	36.36363636363637	62482.0
ERR4042941_1_paired	96.40122600720221	53.0	263.90536902583705	45.45454545454545	85807.0
ERR4042941_2_paired	95.79055321826891	51.0	230.9494796461827	45.45454545454545	85807.0
ERR4042949_1_paired	95.89097484600345	53.0	278.54758089413565	36.36363636363637	68021.0
ERR4042949_2_paired	95.47051645815263	51.0	228.0139221710942	36.36363636363637	68021.0
ERR4043086_1_paired	95.41662624890873	53.0	271.48103598797167	36.36363636363637	41236.0
ERR4043086_2_paired	94.93646328450868	51.0	212.64104180812882	45.45454545454545	41236.0
ERR4043188_1_paired	95.30728062928775	52.0	271.2817786717431	36.36363636363637	55682.0
ERR4043188_2_paired	95.46172910455803	51.0	217.60477353543337	36.36363636363637	55682.0
ERR4043295_1_paired	95.76576166180757	53.0	276.3277605685131	36.36363636363637	43904.0
ERR4043295_2_paired	94.64285714285714	51.0	204.32411625364432	36.36363636363637	43904.0
ERR4043299_1_paired	95.3224155578301	53.0	274.99959058341864	36.36363636363637	48850.0
ERR4043299_2_paired	95.12180143295804	51.0	201.16786079836234	45.45454545454545	48850.0
ERR4043366_1_paired	95.0756243404854	53.0	261.60273353097836	45.45454545454545	39802.0
ERR4043366_2_paired	94.1761720516557	51.0	230.7230038691523	45.45454545454545	39802.0
ERR4043412_1_paired	95.42149005639655	52.0	264.8605483823093	45.45454545454545	53904.0
ERR4043412_2_paired	94.85566933808252	51.0	232.95395517957851	45.45454545454545	53904.0
ERR4043582_1_paired	95.66933288310153	53.0	273.5841124453918	36.36363636363637	47383.0
ERR4043582_2_paired	95.06363041597197	51.0	213.17077854926873	36.36363636363637	47383.0
ERR4043596_1_paired	95.9162915104824	53.0	273.34931906798016	36.36363636363637	53089.0
ERR4043596_2_paired	95.43596601932603	51.0	214.94177701595433	45.45454545454545	53089.0
ERR4043606_1_paired	94.97317935864702	53.0	273.8666932140264	36.36363636363637	42691.0
ERR4043606_2_paired	95.0692183364175	51.0	213.26778477899322	36.36363636363637	42691.0
ERR4043608_1_paired	95.35006497725796	52.0	270.1083495776478	36.36363636363637	49248.0
ERR4043608_2_paired	94.92974333983106	50.0	210.85940545808967	36.36363636363637	49248.0
ERR4043615_1_paired	95.7821001314454	53.0	273.4526380592669	36.36363636363637	60101.0
ERR4043615_2_paired	95.60573035390426	51.0	214.7171594482621	36.36363636363637	60101.0
ERR4043792_1_paired	94.30228324751651	53.0	276.4170697456702	36.36363636363637	38454.0
ERR4043792_2_paired	93.93041036043064	51.0	203.5289696780569	36.36363636363637	38454.0
ERR4043803_1_paired	95.64692892778278	52.0	277.3780363130776	36.36363636363637	48908.0
ERR4043803_2_paired	94.31176903574057	50.0	206.26791118017502	36.36363636363637	48908.0
ERR4043806_1_paired	96.01975817217836	52.0	278.1862531944921	36.36363636363637	52434.0
ERR4043806_2_paired	95.23782278674143	50.0	205.02837853301293	36.36363636363637	52434.0
