	ERR4042824	ERR4042849	ERR4042883	ERR4042921	ERR4042941	ERR4042949	ERR4043086	ERR4043188	ERR4043295	ERR4043299	ERR4043366	ERR4043412	ERR4043582	ERR4043596	ERR4043606	ERR4043608	ERR4043615	ERR4043792	ERR4043803	ERR4043806
Abiotrophia_defectiva	14	318	71	235	108	4	409	128	229	517	2	172	66	14	6	23	348	16	20	35
Acholeplasma_cavigenitalium	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Acholeplasma_palmae	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Achromobacter_xylosoxidans	1	8	3	6	4	1	0	0	2	7	0	1	0	1	0	0	1	2	3	0
Acidaminococcus_fermentans	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
Acidithiobacillus_thiooxidans	141	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	1	0	0	0
Acinetobacter_baumannii	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0
Acinetobacter_junii	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Actinobacillus_porcinus	6	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Actinobaculum_massiliense	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0
Actinomyces_bowdenii	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Actinomyces_cardiffensis	0	2	6	0	0	2	0	2	0	0	13	17	2	1	0	3	0	15	9	2
Actinomyces_catuli	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_denticolens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Actinomyces_georgiae	0	0	6	7	0	31	0	0	10	0	18	14	0	0	2	0	3	8	1	2
Actinomyces_gerencseriae	3	0	2	0	0	1	0	0	2	0	12	0	1	0	1	0	1	0	5	0
Actinomyces_graevenitzii	443	15	1329	601	1	649	8	752	280	1586	405	106	230	138	195	480	294	149	167	4
Actinomyces_israelii	0	0	0	0	1	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_lingnae	125	63	70	136	108	150	2	73	41	301	132	31	18	48	29	73	41	96	51	40
Actinomyces_massiliensis	0	0	0	0	0	7	1	0	3	0	25	0	5	0	27	0	0	28	1	0
Actinomyces_meyeri	0	0	3	0	14	1	1	0	0	2	0	0	0	0	4	1	1	0	0	0
Actinomyces_naeslundii	1	90	10	3	3	19	5	0	25	12	25	0	0	0	11	1	2	6	5	0
Actinomyces_odontolyticus	1864	4352	1772	5221	1326	3737	146	1268	2093	2049	2403	699	1431	1757	1192	949	3076	1822	2557	1290
Actinomyces_oricola	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_oris	1	0	0	1	2	2	0	0	3	0	3	0	0	0	0	0	0	4	0	1
Actinomyces_timonensis	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	1	1	59	0	0
Actinomyces_turicensis	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces_viscosus	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Aggregatibacter_actinomycetemcomitans	151	0	172	0	1	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0
Aggregatibacter_aphrophilus	560	0	172	114	1400	22	160	743	61	1	58	678	314	328	116	392	181	57	88	154
Aggregatibacter_segnis	621	0	285	590	1170	124	451	2938	452	58	131	2850	424	720	95	675	865	239	359	98
Agrobacterium_tumefaciens	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Alkaliphilus_crotonatoxidans	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
Allisonella_histaminiformans	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alloprevotella_rava	320	215	698	332	435	1097	139	1179	229	294	323	405	1835	360	80	4693	202	204	195	654
Alloprevotella_tannerae	12	304	480	48	373	150	243	917	215	10	220	563	338	504	77	698	184	566	296	311
Anaeroglobus_geminatus	99	52	17	282	68	777	62	6	82	2	16	4	0	35	72	75	17	114	6	4
Anaerovorax_odorimutans	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Anoxybacillus_flavithermus	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Aquabacterium_citratiphilum	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asteroleplasma_anaerobium	0	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
Atopobium_parvulum	105	242	610	552	99	304	5	146	113	1440	1341	61	549	151	22	653	143	83	130	4
Atopobium_rimae	6	70	67	27	84	31	22	7	10	15	20	26	0	13	20	1	14	137	5	0
Atopobium_vaginae	0	8	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Bacillus_ginsengihumi	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Bacillus_pumilus	1	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Bacteroides_acidifaciens	2	1	1	0	0	1	1	4	0	1	0	1	2	1	0	3	1	0	1	1
Bacteroides_heparinolyticus	0	0	9	8	0	0	27	10	4	0	0	127	0	8	0	166	0	5	8	2
Bacteroides_intestinalis	10	0	8	2	6	16	1	18	0	0	0	16	2	2	0	8	4	8	4	12
Bacteroides_zoogleoformans	0	0	0	0	0	2	0	0	1	0	0	2	2	0	0	0	4	0	1	0
Barnesiella_viscericola	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
