	ERR4042824	ERR4042849	ERR4042883	ERR4042921	ERR4042941	ERR4042949	ERR4043086	ERR4043188	ERR4043295	ERR4043299	ERR4043366	ERR4043412	ERR4043582	ERR4043596	ERR4043606	ERR4043608	ERR4043615	ERR4043792	ERR4043803	ERR4043806
Abiotrophia_defectiva	0.00024184632393587619	0.007704234906483186	0.002402138241364144	0.004407682496811464	0.0020707109440908046	6.2469741219097e-05	0.01653594242742783	0.002741721286895429	0.006433487849417053	0.012533637179083129	5.587840858292356e-05	0.004625645438898451	0.0015912049761319254	0.00030082296568469455	0.00013458044546127448	0.0004486141723068521	0.007957377723915578	0.00043762479144443533	0.0004683073032523942	0.0009182495539930737
Acholeplasma_cavigenitalium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.793920429146178e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acholeplasma_palmae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00010757314974182444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Achromobacter_xylosoxidans	1.7274737423991155e-05	0.00019381723035177828	0.00010149879893087932	0.00011253657438667567	7.669299792928905e-05	1.561743530477425e-05	0.0	0.0	5.6187666807135836e-05	0.00016970108366263424	0.0	2.689328743545611e-05	0.0	2.1487354691763898e-05	0.0	0.0	2.2866027942286144e-05	5.470309893055442e-05	7.024609548785913e-05	0.0
Acidaminococcus_fermentans	0.0	0.0	0.0	0.0	0.0003834649896464453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.900992802668279e-05	2.2866027942286144e-05	0.0	0.0	0.0
Acidithiobacillus_thiooxidans	0.002435737976782753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011518471695462847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2866027942286144e-05	0.0	0.0	0.0
Acinetobacter_baumannii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.272903585541468e-05	2.793920429146178e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acinetobacter_junii	1.7274737423991155e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.486014848709149e-05	0.0	0.0	0.0	0.0	0.0
Actinobacillus_porcinus	0.00010364842454394693	0.0	0.0	0.0	5.751974844696679e-05	0.0	4.043017708417563e-05	0.0	0.0	0.0	0.0	2.689328743545611e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinobaculum_massiliense	0.0	0.0	0.0	0.0	0.0	1.561743530477425e-05	0.0	0.0	2.8093833403567918e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.735154946527721e-05	0.0	0.0
Actinomyces_bowdenii	3.454947484798231e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2430074243545746e-05	0.0	0.0	0.0	0.0	0.0
Actinomyces_cardiffensis	0.0	4.845430758794457e-05	0.00020299759786175864	0.0	0.0	3.12348706095485e-05	0.0	4.283939510774108e-05	0.0	0.0	0.00036320965578900315	0.00045718588640275386	4.821833261005834e-05	2.1487354691763898e-05	0.0	5.8514892040024186e-05	0.0	0.0004102732419791581	0.0002107382864635774	5.24714030853185e-05
Actinomyces_catuli	0.0	0.0	0.0	0.0	0.0	1.561743530477425e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces_denticolens	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2866027942286144e-05	0.0	0.0	0.0
Actinomyces_georgiae	0.0	0.0	0.00020299759786175864	0.00013129267011778828	0.0	0.00048414049444800173	0.0	0.0	0.00028093833403567916	0.0	0.000502905677246312	0.00037650602409638556	0.0	0.0	4.486014848709149e-05	0.0	6.859808382685844e-05	0.00021881239572221767	2.341536516261971e-05	5.24714030853185e-05
Actinomyces_gerencseriae	5.182421227197347e-05	0.0	6.766586595391954e-05	0.0	0.0	1.561743530477425e-05	0.0	0.0	5.6187666807135836e-05	0.0	0.0003352704514975414	0.0	2.410916630502917e-05	0.0	2.2430074243545746e-05	0.0	2.2866027942286144e-05	0.0	0.00011707682581309856	0.0
